id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,region_name,local_region
345189,US-4360,small_airport,B T Averheart Airport,31.90176,-96.31207,394,Texas,TX
12753,5XS9,small_airport,Byrt Airport,31.92180061340332,-96.26499938964844,414,Texas,TX
24179,PN72,small_airport,Rocky Hollow Field,40.56919860839844,-78.88249969482422,1806,Pennsylvania,PA
24537,SD60,small_airport,Ike John Private Airport,45.400001525878906,-102.7959976196289,2756,South Dakota,SD
509657,OL39,small_airport,Midway Airport,35.698611,-96.6775,853,Oklahoma,OK
11852,50PA,small_airport,Pegasus Air Park,40.93339920043945,-75.34960174560547,620,Pennsylvania,PA
10888,3WN9,small_airport,Brion Memorial Airport,44.55690002441406,-91.36689758300781,900,Wisconsin,WI
15361,92NY,small_airport,Bloecher Farm Airport,42.752936,-78.462124,1430,New York,NY
505838,US-7461,small_airport,Sheldon Airport,42.76544,-78.46168,1400,New York,NY
505839,US-7462,small_airport,Sheldon Airport,42.76544,-78.46168,1400,New York,NY
505840,US-7463,small_airport,Sheldon Airstrip,42.75795,-78.39325,1511,New York,NY
23843,OL19,small_airport,Stuart Mountain Airpark,34.91540145874,-96.129402160645,990,Oklahoma,OK
8714,1VA1,small_airport,Micro Airport,36.735198974609375,-80.44879913330078,2923,Virginia,VA
351568,US-6360,small_airport,Nilsen Airport,37.11118,-90.03153,362,Missouri,MO
22214,MO10,small_airport,Hawk Air Airport,39.20429992675781,-92.26239776611328,870,Missouri,MO
24511,SD24,small_airport,Eden Valley Airport,44.446955,-103.398086,3070,South Dakota,SD
45783,SD35,small_airport,Bruch Airfield,44.494267,-103.395689,2980,South Dakota,SD
16059,9XS6,small_airport,Sudan Airport,34.0531005859375,-102.52200317382812,3769,Texas,TX
26140,XA05,small_airport,Fairview Field,34.10156,-102.627074,3819,Texas,TX
21813,MA70,small_airport,Sudbury Airport,42.35089874267578,-71.42980194091797,135,Massachusetts,MA
7311,0MD1,small_airport,Taylor Field,39.18730163574219,-75.7927017211914,75,Maryland,MD
9062,25MD,small_airport,Whalen Field,39.16749954223633,-75.84020233154297,70,Maryland,MD
10010,32MD,small_airport,Roseland Airport,39.18939971923828,-75.87680053710938,70,Maryland,MD
21914,MD70,small_airport,Flying Acres Airport,39.18119812011719,-75.90879821777344,70,Maryland,MD
516275,US-8281,small_airport,Liberty Spring Airport,36.65657,-76.65566,66,Virginia,VA
13667,70PN,small_airport,Sanders Personal Use Airport,41.989200592041016,-79.30110168457031,1455,Pennsylvania,PA
523550,09MT,small_airport,Paint Creek Ranch Airport,45.909346,-113.763183,5060,Montana,MT
9987,31WI,small_airport,Sullivan Airport,43.007432,-88.602237,875,Wisconsin,WI
14679,85IL,small_airport,Durbin Airport,39.636894,-88.619413,664,Illinois,IL
11286,49IN,small_airport,Drake Airport,39.131699,-87.382004,500,Indiana,IN
17977,II98,small_airport,Shrum Field,39.04389953613281,-87.4219970703125,480,Indiana,IN
23184,NK53,small_airport,Dodge/Coppola/Wheeler Airport,42.20560073852539,-76.77050018310547,1030,New York,NY
14868,8C2,small_airport,Sully Municipal Airport,41.574100494384766,-92.84660339355469,922,Iowa,IA
7770,12LA,small_airport,Kml Airport,30.27589988708496,-93.3573989868164,20,Louisiana,LA
10329,39IN,small_airport,Roberts Field,40.00230026245117,-85.42890167236328,1085,Indiana,IN
9464,2IN5,small_airport,Midkiff Airport,40.015201568603516,-85.472900390625,1038,Indiana,IN
523887,5IG9,small_airport,Kramer Airfield,40.015632,-85.432728,1062,Indiana,IN
7003,08OR,small_airport,Saxon Sycan Airport,42.838,-121.11509,4990,Oregon,OR
16258,AL69,small_airport,Vaughn Private Airport,30.511838,-87.496708,30,Alabama,AL
337243,US-1999,small_airport,Bonner Aerial Applicators Airport,30.47646,-87.69608,105,Alabama,AL
337244,US-2000,small_airport,Marlow Landing Strip,30.46185,-87.79622,62,Alabama,AL
11335,4AL6,small_airport,Bonner Field,30.55827,-87.6527,105,Alabama,AL
14916,8FL2,small_airport,Kiever Airport,29.001101,-82.100601,67,Florida,FL
338678,US-2350,small_airport,Mac Field,45.51891,-118.047339,2924,Oregon,OR
509114,US-7762,small_airport,Wild Jumps Airport,33.0643,-80.25938,57,South Carolina,SC
523790,47GE,small_airport,Flylander Farm Airport,34.482168,-85.304374,748,Georgia,GA
